lead_id,perfil,origen,etapa,tiene_presupuesto,precio_match,tiene_tipo_preferido,tiene_distrito,dias_inactivo,num_seguimientos,puntuacion_lead,problema_legal,problema_precio,problema_accesibilidad,solo_explorando,convirtio,probabilidad_calculada,fecha_creacion
18653,familiar,chat,propuesta,0,0,1,1,1,3,62.8,0,1,0,0,0,0.28,2026-03-29
1493,explorador,web,contactado,1,0,1,0,3,0,0,0,0,1,1,0,0.048,2026-05-12
9872,referido,referido,calificado,1,1,1,0,7,3,86.2,0,0,0,1,0,0.221,2026-03-12
5745,explorador,web,contactado,0,0,0,1,11,2,28.7,0,0,1,0,0,0.096,2026-05-21
2580,explorador,web,perdido,0,0,0,0,27,2,49.7,1,0,0,1,0,0.0,2026-03-18
6120,referido,referido,cierre,1,1,1,0,3,5,81.5,0,0,0,0,1,0.65,2026-03-28
8286,referido,referido,propuesta,1,0,0,1,2,4,0,1,0,0,0,1,0.363,2026-04-13
13790,inversor,web,contactado,1,0,1,1,5,0,58.7,0,0,0,0,0,0.34,2026-04-24
8431,referido,referido,propuesta,1,1,0,1,0,3,80.5,0,0,0,0,1,0.65,2026-04-05
3718,explorador,web,contactado,0,0,0,0,9,1,0,0,0,1,0,0,0.064,2026-03-15
4526,explorador,chat,contactado,1,1,1,0,1,2,0,0,0,0,1,0,0.084,2026-04-14
16783,familiar,web,perdido,1,0,1,1,23,2,59.6,0,1,0,0,0,0.042,2026-03-27
14782,inversor,chat,contactado,1,1,1,1,6,2,82.8,0,0,1,0,0,0.328,2026-03-31
18858,familiar,web,propuesta,1,1,0,1,6,4,72.5,1,0,1,0,0,0.202,2026-05-18
355,explorador,chat,perdido,0,0,1,0,45,2,0,0,0,0,1,0,0.0,2026-04-05
1486,explorador,manual,propuesta,1,0,0,1,4,3,55.1,1,0,0,0,0,0.137,2026-03-14
19006,familiar,web,contactado,1,1,0,1,11,2,66.1,0,0,0,0,0,0.34,2026-03-29
1076,explorador,web,perdido,0,0,0,0,43,2,33.0,0,0,1,0,0,0.0,2026-04-14
4334,explorador,web,calificado,0,0,0,0,3,3,39.3,0,0,0,0,0,0.18,2026-03-25
14728,inversor,web,propuesta,1,1,1,0,4,4,0,0,0,0,0,1,0.49,2026-05-01
3444,explorador,chat,cierre,0,0,0,1,0,7,19.9,1,0,0,1,0,0.077,2026-03-24
3349,explorador,web,perdido,0,0,0,0,26,0,0,0,0,0,0,0,0.0,2026-03-11
173,explorador,web,perdido,0,0,1,0,20,1,50.1,0,0,1,0,0,0.0,2026-06-03
11134,inversor,chat,calificado,1,1,1,1,7,3,55.9,0,0,0,1,0,0.158,2026-05-05
2999,explorador,web,perdido,0,0,0,0,55,1,46.0,0,0,0,1,0,0.0,2026-04-05
19930,familiar,referido,negociacion,1,0,1,0,5,5,0,1,0,0,0,0,0.286,2026-04-04
8784,referido,referido,propuesta,1,1,1,1,0,2,0,0,0,0,0,1,0.65,2026-05-29
4312,explorador,web,contactado,1,1,0,0,11,1,41.9,1,0,0,1,0,0.031,2026-05-08
13778,inversor,chat,perdido,1,1,1,1,38,0,0,1,0,0,0,0,0.066,2026-04-23
17335,familiar,chat,propuesta,1,0,0,1,3,3,59.9,0,1,0,0,0,0.287,2026-03-29
5489,explorador,web,calificado,1,1,0,0,6,3,78.0,0,0,0,0,0,0.24,2026-03-28
12863,inversor,referido,propuesta,1,0,1,0,2,3,0,1,0,0,0,0,0.27,2026-03-10
10369,inversor,chat,calificado,1,1,1,0,8,3,52.1,0,0,1,0,0,0.328,2026-03-06
11516,inversor,referido,calificado,0,0,1,0,1,1,0,0,0,0,0,1,0.4,2026-06-04
3647,explorador,manual,contactado,0,0,0,0,2,0,0,0,0,0,1,0,0.042,2026-05-14
12108,inversor,referido,contactado,1,1,1,1,9,0,87.5,0,0,0,0,1,0.42,2026-06-02
11026,inversor,referido,calificado,1,0,0,0,8,3,68.3,1,1,0,0,0,0.15,2026-04-23
485,explorador,web,cierre,0,0,1,1,1,6,0,0,1,0,0,0,0.294,2026-04-19
17473,familiar,web,cierre,1,0,1,0,1,4,0,0,1,0,0,1,0.399,2026-04-14
1127,explorador,manual,calificado,0,0,1,0,7,1,40.8,0,0,1,0,0,0.128,2026-04-09
9607,referido,referido,propuesta,1,1,0,0,3,4,0,1,0,0,0,1,0.38,2026-05-10
14240,inversor,web,contactado,1,1,1,1,9,2,63.6,0,0,0,0,0,0.39,2026-03-08
2068,explorador,web,calificado,0,0,0,1,9,2,49.7,1,1,0,1,0,0.022,2026-04-23
7650,referido,referido,calificado,1,1,1,1,3,2,0,1,0,1,0,0,0.295,2026-03-16
18157,familiar,web,negociacion,1,1,1,0,5,5,0,0,0,1,1,0,0.146,2026-05-10
12897,inversor,referido,propuesta,1,0,1,0,2,3,58.4,0,0,0,1,0,0.171,2026-04-17
8667,referido,referido,cierre,1,0,1,1,2,7,0,0,0,0,0,1,0.65,2026-05-26
127,explorador,chat,propuesta,0,0,1,0,4,3,44.6,0,0,0,0,0,0.22,2026-03-11
13614,inversor,telegram,negociacion,1,0,1,0,0,5,33.0,0,0,0,0,1,0.52,2026-03-07
10274,inversor,chat,cierre,1,1,1,1,1,7,0,0,0,0,0,1,0.65,2026-05-25
4161,explorador,web,perdido,0,0,0,0,41,2,37.3,0,0,0,0,0,0.0,2026-03-10
4138,explorador,chat,cierre,1,1,0,0,3,4,58.2,0,0,0,0,1,0.46,2026-05-24
14434,inversor,chat,cierre,1,1,1,0,3,7,0,0,0,0,0,1,0.65,2026-05-11
10482,inversor,referido,cierre,1,1,1,0,3,5,60.9,0,0,1,0,1,0.56,2026-04-11
19740,familiar,referido,perdido,1,0,0,1,57,1,71.3,0,0,0,0,0,0.07,2026-06-04
16427,familiar,telegram,propuesta,1,0,0,1,6,4,45.3,0,0,0,0,1,0.41,2026-06-04
1108,explorador,web,contactado,1,0,0,0,10,2,37.6,1,0,0,1,0,0.025,2026-04-25
8403,referido,referido,contactado,1,0,0,1,1,1,0,0,0,1,0,1,0.432,2026-04-01
154,explorador,chat,calificado,0,0,1,0,7,3,84.2,0,0,0,1,0,0.063,2026-05-16
14713,inversor,referido,calificado,0,0,1,0,3,1,0,1,0,0,1,0,0.077,2026-05-20
8489,referido,referido,contactado,1,0,1,1,10,2,0,0,0,1,0,1,0.432,2026-04-28
16633,familiar,web,propuesta,1,1,1,0,1,4,82.2,0,0,0,0,1,0.48,2026-05-16
12059,inversor,referido,propuesta,1,1,1,1,7,3,94.1,0,0,0,0,1,0.54,2026-03-13
4299,explorador,chat,propuesta,0,0,0,0,3,3,51.3,0,0,0,0,0,0.22,2026-03-09
19197,familiar,referido,contactado,1,0,0,1,8,0,88.9,1,0,0,0,0,0.176,2026-05-10
11703,inversor,web,propuesta,0,0,1,1,5,4,0,0,0,1,0,0,0.344,2026-03-11
12776,inversor,web,propuesta,1,1,0,1,7,4,61.3,0,0,0,0,1,0.49,2026-03-25
18430,familiar,telegram,contactado,1,1,0,0,0,0,72.4,0,0,0,1,0,0.119,2026-05-15
13289,inversor,web,calificado,1,1,1,0,5,3,45.8,1,0,1,0,0,0.189,2026-04-18
9981,referido,referido,cierre,1,0,1,0,3,6,77.5,1,0,0,0,0,0.44,2026-05-24
10184,inversor,chat,contactado,1,1,1,1,4,2,0,0,0,0,0,0,0.41,2026-03-29
7626,referido,referido,cierre,1,1,1,1,1,7,86.8,1,0,0,0,1,0.479,2026-03-06
15395,familiar,referido,calificado,0,0,0,1,1,2,0,1,1,0,0,0,0.15,2026-05-30
3211,explorador,chat,perdido,0,0,1,0,52,1,0,0,1,0,1,0,0.0,2026-03-18
2139,explorador,web,negociacion,0,0,0,0,7,4,0,0,0,0,0,0,0.28,2026-04-02
7762,referido,referido,calificado,1,1,1,1,0,2,76.3,0,0,0,0,1,0.65,2026-03-28
2122,explorador,web,calificado,1,0,1,0,6,2,47.3,0,0,0,0,0,0.21,2026-04-14
4909,explorador,telegram,contactado,0,0,0,0,6,2,56.2,0,1,1,0,0,0.067,2026-05-08
9169,referido,referido,negociacion,1,0,1,1,4,4,0,0,1,0,0,1,0.504,2026-04-26
12455,inversor,referido,cierre,1,1,0,1,3,6,95,0,0,1,0,1,0.56,2026-04-24
8542,referido,referido,cierre,1,1,1,1,2,6,72.0,1,0,0,0,1,0.479,2026-05-17
10495,inversor,chat,propuesta,1,1,1,0,7,3,51.9,1,0,0,0,0,0.259,2026-05-22
8329,referido,referido,propuesta,1,1,1,1,1,2,69.9,0,0,0,0,1,0.65,2026-05-17
7688,referido,referido,contactado,0,0,1,0,12,2,0,0,0,1,1,0,0.137,2026-03-07
19155,familiar,referido,perdido,1,0,0,1,25,2,85.3,0,1,0,0,0,0.063,2026-03-19
3644,explorador,chat,negociacion,0,0,0,0,2,3,41.6,0,0,1,0,0,0.224,2026-03-08
12967,inversor,chat,negociacion,1,1,1,1,6,4,0,0,0,0,0,1,0.57,2026-04-10
11075,inversor,web,negociacion,1,0,1,0,5,3,0,0,0,0,0,1,0.48,2026-03-25
8361,referido,referido,cierre,1,1,1,0,1,7,91.5,1,0,1,0,0,0.374,2026-05-02
2536,explorador,web,perdido,0,0,0,1,40,2,0,0,0,0,0,0,0.0,2026-05-01
16224,familiar,telegram,calificado,1,1,1,1,5,3,0,0,0,0,0,0,0.42,2026-04-11
9170,referido,referido,propuesta,1,1,0,0,7,4,68.4,0,0,0,0,1,0.65,2026-03-22
17540,familiar,referido,propuesta,1,1,1,1,7,2,0,0,0,0,1,0,0.178,2026-03-16
11172,inversor,referido,negociacion,1,1,1,1,1,3,0,0,0,0,0,1,0.62,2026-04-15
835,explorador,web,contactado,0,0,1,0,9,1,0,0,0,0,0,0,0.1,2026-05-05
17,explorador,chat,perdido,1,0,0,0,40,0,38.8,1,0,0,1,0,0.0,2026-04-21
11955,inversor,referido,propuesta,1,1,1,0,6,2,71.4,0,0,0,0,1,0.52,2026-04-28
9855,referido,referido,calificado,1,1,1,0,9,2,95,0,0,1,0,1,0.488,2026-05-07
7972,referido,referido,perdido,1,1,1,1,57,2,70.5,0,0,0,0,0,0.34,2026-03-29
13100,inversor,web,contactado,1,1,1,1,12,1,79.9,0,0,0,1,0,0.13,2026-03-07
7760,referido,referido,calificado,0,0,1,1,2,1,51.3,0,0,1,1,0,0.16,2026-03-26
8693,referido,referido,contactado,0,0,1,1,1,1,70.5,0,0,0,0,1,0.53,2026-03-29
17960,familiar,chat,contactado,1,0,1,1,10,2,62.8,0,0,0,0,0,0.31,2026-05-11
6480,referido,referido,cierre,0,0,1,1,0,5,71.3,0,0,0,0,1,0.65,2026-04-09
5353,explorador,telegram,perdido,0,0,1,0,29,1,37.2,0,0,0,0,0,0.0,2026-05-04
17566,familiar,web,perdido,1,0,0,1,39,0,57.6,0,0,1,0,0,0.016,2026-05-12
399,explorador,web,propuesta,1,0,1,0,7,4,0,0,0,0,0,0,0.27,2026-04-03
471,explorador,web,contactado,0,0,0,0,14,0,45.6,0,0,1,1,0,0.022,2026-06-01
11121,inversor,referido,cierre,0,0,1,1,2,4,69.4,0,0,0,0,1,0.64,2026-05-17
17631,familiar,chat,calificado,1,0,0,1,6,2,44.3,1,1,0,0,0,0.135,2026-03-31
24,explorador,web,contactado,1,0,1,1,4,1,50.6,0,0,0,1,0,0.059,2026-05-30
3123,explorador,chat,contactado,0,0,0,1,12,2,53.3,0,0,0,1,0,0.042,2026-03-29
16024,familiar,chat,propuesta,1,0,1,0,2,3,57.6,0,0,1,0,0,0.328,2026-05-27
15788,familiar,telegram,contactado,1,1,1,1,3,0,59.4,0,0,0,0,1,0.38,2026-05-19
13946,inversor,web,negociacion,1,1,1,0,1,5,69.8,0,0,0,0,1,0.57,2026-03-06
17829,familiar,chat,calificado,1,0,0,1,5,3,0,0,0,0,0,1,0.35,2026-04-16
15405,familiar,web,calificado,1,1,0,1,6,1,49.4,0,0,0,0,1,0.38,2026-04-13
